Number of interventions	Set number	Force Set	Type of regulation	Min Flux in Wild-type(mmol/gDW hr)	Max Flux in Wild-type (mmol/gDW hr)	Min Flux in Mutant (mmol/gDW hr)	Max Flux in Mutant (mmol/gDW hr)	Achieved flux (mmol/gDW hr)	Objective function (mmol/gDW hr)	Minimum guaranteed for target (mmol/gDW hr)	Maximum guaranteed for target (mmol/gDW hr)	Maximum growth rate (1/hr)
2	1	{butanediol_tx, MALATE-DEH-RXN}	{downregulation, knockout}	{8.8107e-12, -999.5824}	{0, 0.051511}	{-2.7578, -999.9607}	{-2.7578, 0.010664}	{-2.7578, 0}	2.7578	2.7578	2.7578	0.0053
2	2	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, hyt_nadp}	{upregulation, knockout}	{0, -493.7}	{4.2599e-13, 506.3}	{2.7578, -493.7}	{2.7578, 506.3}	{2.7578, -3.7303e-14}	2.7578	2.7578	2.7578	0.0053
2	3	{ACETOLACTSYN-RXN, carbon_dioxide_tx}	{upregulation, downregulation}	{0.01572, -3.3116}	{0.01572, -3.3116}	{2.7594, -7.2652}	{2.7599, -7.2547}	{2.7594, -7.2579}	2.7578	2.7578	2.7578	0.0053
2	4	{ACETOLACTSYN-RXN, hyt_nadp}	{upregulation, knockout}	{0.01572, -493.7}	{0.01572, 506.3}	{2.7594, -493.7}	{2.7599, 506.3}	{2.7594, 4.5297e-14}	2.7578	2.7578	2.7578	0.0053
2	5	{ACETOLACTATE-DECARBOXYLASE-RXN, RR-BUTANEDIOL-DEHYDROGENASE-RXN}	{upregulation, upregulation}	{0, 0}	{4.2599e-13, 4.2599e-13}	{2.7578, 2.7578}	{2.7578, 2.7578}	{2.7578, 2.7578}	2.7578	2.7578	2.7578	0.0053
2	6	{ACETOLACTATE-DECARBOXYLASE-RXN, UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN}	{upregulation, knockout}	{0, 3.6871e-06}	{4.2599e-13, 3.6871e-06}	{2.7578, 3.6801e-07}	{2.7578, 1.9512e-05}	{2.7578, -6.8212e-13}	2.7578	2.7578	2.7578	0.0000
2	7	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, EX_WATER}	{upregulation, knockout}	{0, -1.9709}	{4.2599e-13, 497.8738}	{2.7578, -1.6116}	{2.7578, 498.3777}	{2.7578, 0}	2.7578	2.7578	2.7578	0.0053
2	8	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, RXN-7682}	{upregulation, knockout}	{0, -999.9898}	{4.2599e-13, 0.0102}	{2.7578, -999.999}	{2.7578, 0.0017713}	{2.7578, 0}	2.7578	2.7578	2.7578	0.0053
2	9	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, RXN-10721}	{upregulation, knockout}	{0, 0}	{4.2599e-13, 0}	{2.7578, 0}	{2.7578, 0}	{2.7578, 0}	2.7578	2.7578	2.7578	0.0053
2	10	{butanediol_tx, 5.4.2.10-RXN}	{downregulation, knockout}	{8.8107e-12, -7.4271e-06}	{0, -7.4271e-06}	{-2.7578, -3.9025e-05}	{-2.7578, 0}	{-2.7578, 1.5916e-12}	2.7578	2.7578	2.7578	0.0000
2	11	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, 3-ISOPROPYLMALDEHYDROG-RXN}	{upregulation, knockout}	{0, -999.9922}	{4.2599e-13, 0.00779}	{2.7578, -999.9992}	{2.7578, 0.0011358}	{2.7578, 0}	2.7578	2.7578	2.7578	0.0053
2	12	{carbon_dioxide_tx, ALCOHOL-DEHYDROG-RXN}	{downregulation, knockout}	{-3.3116, 0}	{-3.3116, -1.0477e-10}	{-7.2652, 0}	{-7.2547, 0.0073632}	{-7.2547, 0}	2.7497	2.7556	2.7556	0.0053
2	13	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, UROCANATE-HYDRATASE-RXN}	{upregulation, knockout}	{0, 2.7889e-12}	{4.2599e-13, 0}	{2.7578, -0.00014102}	{2.7578, 0}	{2.7578, -2.2737e-13}	2.7578	2.7578	2.7578	0.0053
