Number of interventions	Set number	Force Set	Type of regulation	Min Flux in Wild-type(mmol/gDW hr)	Max Flux in Wild-type (mmol/gDW hr)	Min Flux in Mutant (mmol/gDW hr)	Max Flux in Mutant (mmol/gDW hr)	Achieved flux (mmol/gDW hr)	Objective function (mmol/gDW hr)	Minimum guaranteed for target (mmol/gDW hr)	Maximum guaranteed for target (mmol/gDW hr)	Maximum growth rate (1/hr)
2	1	{ACETOLACTATE-DECARBOXYLASE-RXN, ACETOLACTSYN-RXN}	{upregulation, upregulation}	{0, 0.025817}	{-2.5336e-12, 0.025817}	{4.8912, 4.8938}	{4.8912, 4.8938}	{4.8912, 4.8938}	4.8912	4.8912	4.8912	0.0086
2	2	{butanediol_tx, hyt_nadp}	{downregulation, knockout}	{7.8217e-12, -483.479}	{0, 516.521}	{-4.8912, -483.479}	{-4.8912, 516.521}	{-4.8912, -1.4211e-14}	4.8912	4.8912	4.8912	0.0086
2	3	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, CITRAMALATE-LYASE-RXN}	{upregulation, knockout}	{0, -0.044822}	{-2.5336e-12, -0.044822}	{4.8912, -0.0045486}	{4.8912, 1.0401}	{4.8912, 0}	4.8912	4.8912	4.8912	0.0086
2	4	{ACETOLACTATE-DECARBOXYLASE-RXN, UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN}	{upregulation, knockout}	{0, 6.0552e-06}	{-2.5336e-12, 6.0552e-06}	{4.8912, 6.0482e-07}	{4.8912, 4.5932e-06}	{4.8912, -6.8212e-13}	4.8912	4.8912	4.8912	0.0000
2	5	{ACETOLACTATE-DECARBOXYLASE-RXN, hyt_nadp}	{upregulation, knockout}	{0, -483.479}	{-2.5336e-12, 516.521}	{4.8912, -483.479}	{4.8912, 516.521}	{4.8912, -1.4211e-14}	4.8912	4.8912	4.8912	0.0086
2	6	{ACETOLACTSYN-RXN, UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN}	{upregulation, knockout}	{0.025817, 6.0552e-06}	{0.025817, 6.0552e-06}	{4.8938, 6.0482e-07}	{4.8938, 4.5932e-06}	{4.8938, -6.8212e-13}	4.8912	4.2913	4.8938	0.0000
2	7	{ACETOLACTATE-DECARBOXYLASE-RXN, pi_tx}	{upregulation, knockout}	{0, -999.4899}	{-2.5336e-12, 1000}	{4.8912, -999.9491}	{4.8912, 1000}	{4.8912, 0}	4.8912	4.8912	4.8912	0.0086
2	8	{ACETOLACTSYN-RXN, hyt_nadp}	{upregulation, knockout}	{0.025817, -483.479}	{0.025817, 516.521}	{4.8938, -483.479}	{4.8938, 516.521}	{4.8938, -1.4211e-14}	4.8912	4.8912	4.8912	0.0086
2	9	{ACETOLACTSYN-RXN, 1.2.1.2-RXN}	{upregulation, knockout}	{0.025817, -495.1334}	{0.025817, 504.8666}	{4.8938, -496.361}	{4.8938, 504.8093}	{4.8938, 0}	4.8912	4.8912	4.8912	0.0086
2	10	{butanediol_tx, UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN}	{downregulation, knockout}	{7.8217e-12, 6.0552e-06}	{0, 6.0552e-06}	{-4.8912, 6.0482e-07}	{-4.8912, 4.5932e-06}	{-4.8912, -6.8212e-13}	4.8912	4.8912	4.8912	0.0000
2	11	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, pi_tx}	{upregulation, knockout}	{0, -999.4899}	{-2.5336e-12, 1000}	{4.8912, -999.9491}	{4.8912, 1000}	{4.8912, 0}	4.8912	4.8912	4.8912	0.0086
2	12	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, ACETOACETYL-COA-TRANSFER-RXN}	{upregulation, knockout}	{0, 0}	{-2.5336e-12, 0}	{4.8912, 0}	{4.8912, 0}	{4.8912, -2.2737e-13}	4.8912	4.8912	4.8912	0.0086
2	13	{ACETOLACTSYN-RXN, RXN-11811}	{upregulation, downregulation}	{0.025817, 0.32424}	{0.025817, 0.32424}	{4.8938, -0.21065}	{4.8938, -0.21038}	{4.8938, -0.21058}	4.8912	4.8912	4.8912	0.0086
2	14	{ACETOLACTSYN-RXN, pi_tx}	{upregulation, knockout}	{0.025817, -999.4899}	{0.025817, 1000}	{4.8938, -999.9491}	{4.8938, 1000}	{4.8938, 0}	4.8912	4.8912	4.8912	0.0086
2	15	{butanediol_tx, UROCANATE-HYDRATASE-RXN}	{downregulation, knockout}	{7.8217e-12, 0}	{0, 0}	{-4.8912, -0.026679}	{-4.8912, 0}	{-4.8912, -2.2737e-13}	4.8912	4.8912	4.8912	0.0086
2	16	{ACETOLACTSYN-RXN, PEPTIDOGLYCAN_bm_tx}	{upregulation, knockout}	{0.025817, -1.7071e-13}	{0.025817, 0}	{4.8938, -1.9942e-06}	{4.8938, 0}	{4.8938, 0}	4.8912	4.8912	4.8912	0.0086
2	17	{ACETOLACTSYN-RXN, 6PFRUCTPHOS-RXN}	{upregulation, knockout}	{0.025817, 0}	{0.025817, 0}	{4.8938, 0}	{4.8938, 0.28498}	{4.8938, 0}	4.8912	4.8912	4.8912	0.0086
2	18	{ACETOLACTATE-DECARBOXYLASE-RXN, acetylcoa_tx}	{upregulation, knockout}	{0, 0}	{-2.5336e-12, 0}	{4.8912, -1.4639e-05}	{4.8912, 0}	{4.8912, 0}	4.8912	4.8912	4.8912	0.0086
2	19	{butanediol_tx, pi_tx}	{downregulation, knockout}	{7.8217e-12, -999.4899}	{0, 1000}	{-4.8912, -999.9491}	{-4.8912, 1000}	{-4.8912, 0}	4.8912	4.8912	4.8912	0.0086
2	20	{ACETOLACTATE-DECARBOXYLASE-RXN, RIBOSYLHOMOCYSTEINASE-RXN}	{upregulation, knockout}	{0, 0}	{-2.5336e-12, 0}	{4.8912, 0}	{4.8912, 0}	{4.8912, -2.2737e-13}	4.8912	4.8912	4.8912	0.0086
2	21	{ACETOLACTATE-DECARBOXYLASE-RXN, RXN-11811}	{upregulation, downregulation}	{0, 0.32424}	{-2.5336e-12, 0.32424}	{4.8912, -0.21065}	{4.8912, -0.21038}	{4.8912, -0.21058}	4.8912	4.8912	4.8912	0.0086
