Number of interventions	Set number	Force Set	Type of regulation	Min Flux in Wild-type(mmol/gDW hr)	Max Flux in Wild-type (mmol/gDW hr)	Min Flux in Mutant (mmol/gDW hr)	Max Flux in Mutant (mmol/gDW hr)	Achieved flux (mmol/gDW hr)	Objective function (mmol/gDW hr)	Minimum guaranteed for target (mmol/gDW hr)	Maximum guaranteed for target (mmol/gDW hr)	Maximum growth rate (1/hr)
1	1	{ACETOLACTATE-DECARBOXYLASE-RXN}	{upregulation}	{0}	{-2.5336e-12}	{4.8912}	{4.8912}	{4.8912}	4.8912	4.8912	4.8912	0.0086
1	2	{ACETOLACTSYN-RXN}	{upregulation}	{0.025817}	{0.025817}	{4.8938}	{4.8938}	{4.8938}	4.8912	4.8912	4.8912	0.0086
1	3	{RR-BUTANEDIOL-DEHYDROGENASE-RXN}	{upregulation}	{0}	{-2.5336e-12}	{4.8912}	{4.8912}	{4.8912}	4.8912	4.8912	4.8912	0.0086
1	4	{EX_ETOH}	{knockout}	{6.0176}	{6.0176}	{0}	{0.00012363}	{0}	2.0179	4.1824	 NaN	0.0227
1	5	{ethanol_tx}	{knockout}	{-6.0176}	{-6.0176}	{-0.00012363}	{0}	{-1.2561e-05}	2.0179	4.1824	4.1824	0.0227
1	6	{ALCOHOL-DEHYDROG-RXN}	{knockout}	{6.0176}	{6.0176}	{0}	{0.00012363}	{-2.2737e-13}	2.0179	4.1824	 NaN	0.0227
1	7	{ALCOHOL-DEHYDROG-RXN}	{downregulation}	{6.0176}	{6.0176}	{0}	{0.00012363}	{0.00012474}	2.0176	4.1824	4.1824	0.0227
1	8	{ethanol_tx}	{upregulation}	{-6.0176}	{-6.0176}	{-0.00012363}	{0}	{-0.00012363}	2.0176	4.1823	4.1824	0.0227
1	9	{butanediol_tx}	{downregulation}	{7.8217e-12}	{0}	{-4.8912}	{-4.8912}	{-4.8912}	4.8912	4.8912	4.8912	0.0086
1	10	{2.7.7.60-RXN}	{knockout}	{3.3304e-05}	{3.3304e-05}	{0}	{2.5263e-05}	{0}	0.0003	0.0000	4.9485	0.0000
1	11	{ALARACECAT-RXN}	{knockout}	{1.4279e-05}	{1.4279e-05}	{1.2096e-06}	{5.4385e-05}	{-1.3642e-12}	0.0003	0.0000	4.9485	0.0000
1	12	{UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN}	{knockout}	{6.0552e-06}	{6.0552e-06}	{6.0482e-07}	{4.5932e-06}	{6.7782e-07}	0.0003	0.0000	4.8843	0.0097
1	13	{DALADALALIG-RXN}	{knockout}	{6.0552e-06}	{6.0552e-06}	{6.0482e-07}	{4.5932e-06}	{6.0552e-07}	0.0003	0.0000	4.8912	0.0086
1	14	{DXPREDISOM-RXN}	{knockout}	{3.3304e-05}	{3.3304e-05}	{0}	{2.5263e-05}	{0}	0.0003	0.0000	4.9485	0.0000
1	15	{2.7.1.148-RXN}	{knockout}	{3.3304e-05}	{3.3304e-05}	{0}	{2.5263e-05}	{0}	0.0003	0.0000	4.9485	0.0000
1	16	{GLUTRACE-RXN}	{knockout}	{6.0552e-06}	{6.0552e-06}	{6.0482e-07}	{4.5932e-06}	{-6.8212e-13}	0.0003	0.0000	4.9485	0.0000
1	17	{UDP-NACMURALGLDAPAALIG-RXN}	{knockout}	{6.0552e-06}	{6.0552e-06}	{6.0482e-07}	{4.5932e-06}	{6.0552e-07}	0.0003	0.0000	4.8912	0.0086
1	18	{FPPSYN-RXN}	{knockout}	{3.0276e-06}	{3.0276e-06}	{3.0241e-07}	{2.2966e-06}	{3.0276e-07}	0.0003	0.0000	4.8912	0.0086
